Title,Story
"Anaphylaxis: First aid - Mayo Clinic
","A life-threatening allergic reaction (anaphylaxis) can cause shock, a sudden drop in blood pressure and trouble breathing. In people who have an allergy, anaphylaxis can occur minutes after exposure to a specific allergy-causing substance (allergen). In some cases, there may be a delayed reaction or anaphylaxis may occur without an apparent trigger. If you're with someone having signs and symptoms of anaphylaxis, don't wait to see whether symptoms get better. Seek emergency treatment right away. In severe cases, untreated anaphylaxis can lead to death within half an hour. An antihistamine pill, such as diphenhydramine (Benadryl), isn't sufficient to treat anaphylaxis. These medications can help relieve allergy symptoms, but work too slowly in a severe reaction. Some common anaphylaxis triggers include: If you've had any kind of severe allergic reaction in the past, ask your doctor if you should be prescribed an epinephrine autoinjector to carry with you. Immediately call 911 or your local medical emergency number. Ask the person if he or she is carrying an epinephrine autoinjector (EpiPen, Auvi-Q, others) to treat an allergic attack. If the person says he or she needs to use an autoinjector, ask whether you should help inject the medication. This is usually done by pressing the autoinjector against the person's thigh. Have the person lie still on his or her back. Loosen tight clothing and cover the person with a blanket. Don't give the person anything to drink. If there's vomiting or bleeding from the mouth, turn the person on his or her side to prevent choking. If there are no signs of breathing, coughing or movement, begin CPR. Do uninterrupted chest presses  about 100 every minute  until paramedics arrive. Get emergency treatment even if symptoms start to improve. After anaphylaxis, it's possible for symptoms to recur. Monitoring in a hospital for several hours is usually necessary. Skin reactions, including hives, itching, and flushed or pale skin Swelling of the face, eyes, lips or throat Constriction of the airways, leading to wheezing and trouble breathing A weak and rapid pulse Nausea, vomiting or diarrhea Dizziness, fainting or unconsciousness Medications Foods such as peanuts, tree nuts, fish and shellfish Insect stings from bees, yellow jackets, wasps, hornets and fire ants Lieberman P, et al. The diagnosis and management of anaphylaxis practice parameter: 2010 update. Journal of Allergy and Clinical Immunology. 2010;126:477. NIAID-Sponsored Expert Panel. Guidelines for diagnosis and management of food allergy in the United States: Report of the NIAID-sponsored expert panel. The Journal of Allergy and Clinical Immunology. 2010;126(suppl):S1. "
"Animal bites: First aid - Mayo Clinic
","Animal bites are common. Most are caused by dogs and cats. Cat bites can look minor, but they can be serious because a fang puncture can leave bacteria deep in the wound. These guidelines can help you care for a minor animal bite, such as one that only breaks the skin: You have questions about your risk of rabies or about rabies prevention. If the bite was caused by a cat or a dog, try to confirm that its rabies vaccination is up to date. If the bite was caused by a wild animal, seek advice from your doctor about which animals are most likely to carry rabies. Bats often carry rabies. And people have been infected without obvious signs of a bite. This is why the Centers for Disease Control and Prevention recommends that people in contact with bats  or even those who are sleeping and awaken to find a bat in the bedroom  seek medical advice about rabies shots, even if they don't think they've been bitten. Wash the wound thoroughly with soap and water. Apply an antibiotic cream and cover the bite with a clean bandage. The wound is a deep puncture or you're not sure how serious it is. The skin is badly torn and bleeding significantly  first apply pressure with a bandage or clean cloth to stop the bleeding. You notice increasing swelling, redness, pain or oozing, which are warning signs of infection. 
You have questions about your risk of rabies or about rabies prevention. If the bite was caused by a cat or a dog, try to confirm that its rabies vaccination is up to date. If the bite was caused by a wild animal, seek advice from your doctor about which animals are most likely to carry rabies.
Bats often carry rabies. And people have been infected without obvious signs of a bite. This is why the Centers for Disease Control and Prevention recommends that people in contact with bats  or even those who are sleeping and awaken to find a bat in the bedroom  seek medical advice about rabies shots, even if they don't think they've been bitten.
 You haven't had a tetanus shot in the past five years and the wound is deep or dirty. You may need a booster shot. Millman M. Mayo Clinic Guide to Self-Care. 6th ed. Rochester, Minn.: Mayo Foundation for Medical Education and Research; 2010. Piazza GM, et al. First Aid Manual. 3rd ed. London, England; New York, N.Y.: DK Publishing; 2009. Babovic N, et al. Cat bite infections of the hand: Assessment of morbidity and predictors of severe infection. Journal of Hand Surgery. 2014;39:286. Babovic N, et al. Cat bite infections of the hand: Assessment of morbidity and predictors of severe infection.Journal of Hand Surgery. 2014;39:286. "
"Black eye: First aid - Mayo Clinic
","A black eye is caused by bleeding under the skin around the eye. Most injuries that cause a black eye aren't serious. But a black eye may indicate a more serious injury, such as an internal injury to the eye or a fracture of the thin bones around the eye. You may have a skull fracture if you have double vision, bruising around both eyes (raccoon eyes) or bleeding from the nose.  To take care of a black eye: Apply a cold compress soon after the injury. Using gentle pressure, place a cold pack or a cloth filled with ice to the area around your eye. Take care not to press on the eye itself. Apply cold as soon as possible after the injury to reduce swelling. Repeat several times a day for a day or two. Look for blood. If you see it in the white or colored parts of the eye, seek urgent care by an eye specialist (ophthalmologist). Seek medical care immediately if you have vision problems (double vision, blurring), severe pain, bruising around both eyes, or bleeding in an eye or from the nose. Apply warm-hot compresses. This may be helpful after a few days when the swelling has stabilized. Repeat several times a day for a day or two. Subbarao I, et al., eds. American Medical Association Handbook of First Aid and Emergency Care. New York, N.Y.: Random House; 2009. "
"Blisters: First aid - Mayo Clinic
","If a blister isn't too painful, try to keep it intact. Unbroken skin over a blister may provide a natural barrier to bacteria and decreases the risk of infection. Cover it with an adhesive bandage. If you're allergic to the adhesive used in some tape, use paper tape. Seek medical care if the blister is painful or prevents you from walking or using one of your hands. Consider taking the following self-care measures if medical help is not available. To relieve blister-related pain, drain the fluid while leaving the overlying skin intact. Here's how: To prevent friction blisters on your feet, wear shoes that fit well. It also helps to use moisture-wicking socks. Try the various socks, shoes and insoles that are designed specifically to help reduce blistering. You might also try attaching moleskin to the inside of your shoe where it might rub or dusting the inside of your socks with talcum powder. Gloves help prevent blisters on your hands. Wash your hands and the blister with soap and warm water. Swab the blister with iodine. Sterilize a clean, sharp needle by wiping it with rubbing alcohol. Use the needle to puncture the blister. Aim for several spots near the blister's edge. Let the fluid drain, but leave the overlying skin in place. Apply an ointment (Vaseline, Plastibase, other) to the blister and cover it with a nonstick gauze bandage. If a rash appears, stop using the ointment. Change the dressing every day. Apply more ointment and a bandage. Subbarao I, et al., eds. American Medical Association Handbook of First Aid and Emergency Care. New York, N.Y.: Random House; 2009. Millman M, et al., eds. Mayo Clinic Guide to Self-Care. 6th ed. Rochester, Minn.: Mayo Foundation for Medical Education and Research; 2010. Brennan FH. Treatment and prevention of foot friction blisters. ACSM's Health & Fitness Journal. 2013;17:45. Khodaee M, et al. Common ultramarathon injuries and illnesses: Race day management. Current Sports Medicine Reports. 2012;11:290. Gibson LE (expert opinion). Mayo Clinic, Rochester, Minn. Dec. 16, 2014. "
"Bruise: First aid - Mayo Clinic
","A bruise forms when a blow breaks blood vessels near your skin's surface, allowing a small amount of blood to leak into the tissues under your skin. The trapped blood may cause a bruise that at first looks like a black-and-blue mark and then changes color as it heals. If your skin isn't broken, you don't need a bandage. But you can enhance bruise healing with these simple techniques: These signs and symptoms may indicate a more serious problem, such as a blood-clotting problem or blood-related disease. Elevate the injured area. Apply an ice pack wrapped in a towel or a cloth dampened with cold water. Do this for about 10 minutes. Repeat several times a day for a day or two after the injury as needed. Rest the bruised area, if possible. Consider acetaminophen (Tylenol, others) for pain relief, or ibuprofen (Advil, Motrin IB, others) for pain relief and to reduce swelling. Notice very painful swelling in the bruised area Are still experiencing pain three days after a seemingly minor injury Have frequent, large or painful bruises, particularly if your bruises appear on your trunk, back or face, or seem to develop for no known reasons Have easy bruising and a history of significant bleeding, such as during a surgical procedure Notice a lump (hematoma) form over the bruise Are experiencing abnormal bleeding elsewhere, such as from your nose or gums or in urine or stool Suddenly begin bruising, but have no history of bruising Have a family history of easy bruising or bleeding Subbarao I, et al., eds. American Medical Association Handbook of First Aid and Emergency Care. New York, N.Y.: Random House; 2009. Piazza GM, et al. First Aid Manual. 3rd ed. London, England; New York, N.Y.: DK Publishing; 2009. "
"Burns: First aid - Mayo Clinic
","For minor burns: See your doctor if you develop large blisters. Large blisters are best removed, as they rarely will remain intact on their own. Also seek medical help if the burn covers a large area of the body or if you notice signs of infection, such as oozing from the wound and increased pain, redness and swelling. Call 911 or emergency medical help for major burns. Until an emergency unit arrives, take these actions: If it's not clear what level of care is needed, try to judge the extent of tissue damage, based on the following burn categories: A first-degree burn is the least serious type, involving only the outer layer of skin. It may cause: You can usually treat a first-degree burn as a minor burn. If it involves much of the hands, feet, face, groin, buttocks or a major joint, seek emergency medical attention. A second-degree burn is more serious. It may cause: If the second-degree burn is no larger than 3 inches (7.6 centimeters) in diameter, treat it as a minor burn. If the burned area is larger or covers the hands, feet, face, groin, buttocks or a major joint, treat it as a major burn and get medical help immediately. The most serious burns involve all layers of the skin and underlying fat. Muscle and even bone may be affected. Burned areas may be charred black or white. The person may experience: Cool the burn to help soothe the pain. Hold the burned area under cool (not cold) running water for 10 to 15 minutes or until the pain eases. Or apply a clean towel dampened with cool tap water. Remove rings or other tight items from the burned area. Try to do this quickly and gently, before the area swells. Don't break small blisters (no bigger than your little fingernail). If blisters break, gently clean the area with mild soap and water, apply an antibiotic ointment, and cover it with a nonstick gauze bandage. Apply moisturizer or aloe vera lotion or gel, which may provide relief in some cases. If needed, take an over-the-counter pain reliever, such as ibuprofen (Advil, Motrin IB, others), naproxen sodium (Aleve) or acetaminophen (Tylenol, others). Consider a tetanus shot. Make sure that your tetanus booster is up to date. Doctors recommend people get a tetanus shot at least every 10 years. Protect the burned person from further harm. If you can do so safely, make sure the person you're helping is not in contact with smoldering materials or exposed to smoke or heat. But don't remove burned clothing stuck to the skin. Check for signs of circulation. Look for breathing, coughing or movement. Begin CPR if needed. Remove jewelry, belts and other restrictive items, especially from around burned areas and the neck. Burned areas swell rapidly. Don't immerse large severe burns in cold water. Doing so could cause a serious loss of body heat (hypothermia) or a drop in blood pressure and decreased blood flow (shock). Elevate the burned area. Raise the wound above heart level, if possible. Cover the area of the burn. Use a cool, moist, bandage or a clean cloth. Redness Swelling Pain Red, white or splotchy skin Swelling Pain Blisters Difficulty breathing Carbon monoxide poisoning Other toxic effects, if smoke inhalation also occurred Subbarao I, et al., eds. American Medical Association Handbook of First Aid and Emergency Care. New York, N.Y.: Random House; 2009. Purdue GF, et al. Acute assessment and management of burn injuries. Physical Medicine and Rehabilitation Clinics of North America. 2011;22:201. Kowalske KJ. Burn wound care. Physical Medicine and Rehabilitation Clinics of North America. 2011;22:213. Millman M, et al., eds. Mayo Clinic Guide to Self-Care. 6th ed. Rochester, Minn.: Mayo Foundation for Medical Education and Research; 2010. Murphy F, et al. Treatment for burn blisters: Debride or leave intact? Emergency Nurse. 2014;22:24. Wilkinson JM (expert opinion). Mayo Clinic, Rochester, Minn. Dec. 24, 2014. "
"Cardiopulmonary resuscitation (CPR): First aid - Mayo Clinic
","Cardiopulmonary resuscitation (CPR) is a lifesaving technique useful in many emergencies, including heart attack or near drowning, in which someone's breathing or heartbeat has stopped. The American Heart Association recommends that everyone  untrained bystanders and medical personnel alike  begin CPR with chest compressions. It's far better to do something than to do nothing at all if you're fearful that your knowledge or abilities aren't 100 percent complete. Remember, the difference between your doing something and doing nothing could be someone's life. Here's advice from the American Heart Association: The above advice applies to adults, children and infants needing CPR, but not newborns. CPR can keep oxygenated blood flowing to the brain and other vital organs until more definitive medical treatment can restore a normal heart rhythm. When the heart stops, the lack of oxygenated blood can cause brain damage in only a few minutes. A person may die within eight to 10 minutes. To learn CPR properly, take an accredited first-aid training course, including CPR and how to use an automated external defibrillator (AED). If you are untrained and have immediate access to a phone, call 911 before beginning CPR. The dispatcher can instruct you in the proper procedures until help arrives. Before starting CPR, check: The American Heart Association uses the acronym of CAB  compressions, airway, breathing  to help people remember the order to perform the steps of CPR. Rescue breathing can be mouth-to-mouth breathing or mouth-to-nose breathing if the mouth is seriously injured or can't be opened. The procedure for giving CPR to a child age 1 through 8 is essentially the same as that for an adult. The American Heart Association also recommends the following to perform CPR on a child: Continue until the child moves or help arrives. Most cardiac arrests in babies occur from lack of oxygen, such as from drowning or choking. If you know the baby has an airway obstruction, perform first aid for choking. If you don't know why the baby isn't breathing, perform CPR. To begin, examine the situation. Stroke the baby and watch for a response, such as movement, but don't shake the baby. If there's no response, follow the CAB procedures below and time the call for help as follows: Untrained. If you're not trained in CPR, then provide hands-only CPR. That means uninterrupted chest compressions of 100 to 120 a minute until paramedics arrive (described in more detail below). You don't need to try rescue breathing. Trained and ready to go. If you're well-trained and confident in your ability, begin with chest compressions instead of first checking the airway and doing rescue breathing. Start CPR with 30 chest compressions before checking the airway and giving rescue breaths. Trained but rusty. If you've previously received CPR training but you're not confident in your abilities, then just do chest compressions at a rate of 100 to 120 a minute. (Details described below.) Is the environment safe for the person? Is the person conscious or unconscious? If the person appears unconscious, tap or shake his or her shoulder and ask loudly, ""Are you OK?"" If the person doesn't respond and two people are available, one should call 911 or the local emergency number and one should begin CPR. If you are alone and have immediate access to a telephone, call 911 before beginning CPR  unless you think the person has become unresponsive because of suffocation (such as from drowning). In this special case, begin CPR for one minute and then call 911 or the local emergency number. If an AED is immediately available, deliver one shock if instructed by the device, then begin CPR. Put the person on his or her back on a firm surface. Kneel next to the person's neck and shoulders. Place the heel of one hand over the center of the person's chest, between the nipples. Place your other hand on top of the first hand. Keep your elbows straight and position your shoulders directly above your hands. Use your upper body weight (not just your arms) as you push straight down on (compress) the chest at least 2 inches (approximately 5 centimeters) but not greater than 2.4 inches (approximately 6 centimeters). Push hard at a rate of 100 to 120 compressions a minute. If you haven't been trained in CPR, continue chest compressions until there are signs of movement or until emergency medical personnel take over. If you have been trained in CPR, go on to checking the airway and rescue breathing. If you're trained in CPR and you've performed 30 chest compressions, open the person's airway using the head-tilt, chin-lift maneuver. Put your palm on the person's forehead and gently tilt the head back. Then with the other hand, gently lift the chin forward to open the airway. Check for normal breathing, taking no more than five or 10 seconds. Look for chest motion, listen for normal breath sounds, and feel for the person's breath on your cheek and ear. Gasping is not considered to be normal breathing. If the person isn't breathing normally and you are trained in CPR, begin mouth-to-mouth breathing. If you believe the person is unconscious from a heart attack and you haven't been trained in emergency procedures, skip mouth-to-mouth breathing and continue chest compressions. With the airway open (using the head-tilt, chin-lift maneuver), pinch the nostrils shut for mouth-to-mouth breathing and cover the person's mouth with yours, making a seal. Prepare to give two rescue breaths. Give the first rescue breath  lasting one second  and watch to see if the chest rises. If it does rise, give the second breath. If the chest doesn't rise, repeat the head-tilt, chin-lift maneuver and then give the second breath. Thirty chest compressions followed by two rescue breaths is considered one cycle. Be careful not to provide too many breaths or to breathe with too much force. Resume chest compressions to restore circulation. If the person has not begun moving after five cycles (about two minutes) and an automated external defibrillator (AED) is available, apply it and follow the prompts. Administer one shock, then resume CPR  starting with chest compressions  for two more minutes before administering a second shock. If you're not trained to use an AED, a 911 or other emergency medical operator may be able to guide you in its use. If an AED isn't available, go to step 5 below. Continue CPR until there are signs of movement or emergency medical personnel take over. If you're alone, perform five cycles of compressions and breaths on the child  this should take about two minutes  before calling 911 or your local emergency number or using an AED. Use two hands, or only one hand if the child is very small, to perform chest compressions. Press straight down on (compress) the chest about 2 inches (approximately 5 centimeters). If the child is an adolescent, push straight down on the chest at least 2 inches (approximately 5 centimeters) but not greater than 2.4 inches (approximately 6 centimeters).  Breathe more gently. Use the same compression-breath rate as is used for adults: 30 compressions followed by two breaths. This is one cycle. Following the two breaths, immediately begin the next cycle of compressions and breaths. If there are two people conducting CPR, conduct 15 compressions followed by two breaths. After five cycles (about two minutes) of CPR, if there is no response and an AED is available, apply it and follow the prompts. Use pediatric pads if available, for children ages 1 through 8. If pediatric pads aren't available, use adult pads. Do not use an AED for children younger than age 1. Administer one shock, then resume CPR  starting with chest compressions  for two more minutes before administering a second shock. If you're not trained to use an AED, a 911 or other emergency medical operator may be able to guide you in its use. If you're the only rescuer and CPR is needed, do CPR for two minutes  about five cycles  before calling 911 or your local emergency number. If another person is available, have that person call for help immediately while you attend to the baby. Place the baby on his or her back on a firm, flat surface, such as a table. The floor or ground also will do. Imagine a horizontal line drawn between the baby's nipples. Place two fingers of one hand just below this line, in the center of the chest. Gently compress the chest about 1.5 inches (about 4 centimeters). Count aloud as you pump in a fairly rapid rhythm. You should pump at a rate of 100 to 120 compressions a minute. After 30 compressions, gently tip the head back by lifting the chin with one hand and pushing down on the forehead with the other hand. In no more than 10 seconds, put your ear near the baby's mouth and check for breathing: Look for chest motion, listen for breath sounds, and feel for breath on your cheek and ear. Cover the baby's mouth and nose with your mouth. Prepare to give two rescue breaths. Use the strength of your cheeks to deliver gentle puffs of air (instead of deep breaths from your lungs) to slowly breathe into the baby's mouth one time, taking one second for the breath. Watch to see if the baby's chest rises. If it does, give a second rescue breath. If the chest does not rise, repeat the head-tilt, chin-lift maneuver and then give the second breath. If the baby's chest still doesn't rise, examine the mouth to make sure no foreign material is inside. If an object is seen, sweep it out with your finger. If the airway seems blocked, perform first aid for a choking baby. Give two breaths after every 30 chest compressions. If two people are conducting CPR, give two breaths after every 15 chest compressions. Perform CPR for about two minutes before calling for help unless someone else can make the call while you attend to the baby. Continue CPR until you see signs of life or until medical personnel arrive. Field JM, et al. Part 1: Executive summary  2010 American Heart Association guidelines for cardiopulmonary resuscitation and emergency cardiovascular care. Circulation. 2010;122(suppl):S640. Liu J, et al. Adult resuscitation summary. Disease-a-Month. 2013;59:168. Janeczek M, et al. Pediatric resuscitation guidelines. Disease-a-Month. 2013;59:182. Dumas F, et al. Chest compression alone cardiopulmonary resuscitation is associated with better long-term survival compared with standard cardiopulmonary resuscitation. Circulation. 2013;127:435. "
"Chemical burns: First aid - Mayo Clinic
","Chemical burns can be caused by many substances, such as strong acids, drain cleaners (lye), paint thinner and gasoline. Usually, you are aware of the burn and its cause. But sometimes you may not immediately recognize a burn caused by a milder chemical. As with some sunburns, the pain and redness may develop hours after the exposure. If you're unsure whether a substance is toxic, call Poison Help at 800-222-1222 in the United States. If you seek emergency medical help, take the chemical container or the name of the chemical with you to the emergency department. Remove the chemical causing the burn while protecting yourself. For dry chemicals, brush off any remaining material. Wear gloves or use a towel or other suitable object, such as a brush. Remove contaminated clothing or jewelry to prevent further burning. Rinse the burn immediately. Run a gentle, steady stream of cool tap water over the burn for 10 or more minutes. A shower may be an effective way to do this. Always protect your eyes. Loosely apply a bandage or gauze. If needed, take an over-the-counter pain reliever, such as ibuprofen (Advil, Motrin IB, others), naproxen sodium (Aleve) or acetaminophen (Tylenol, others). Consider a tetanus shot. Make sure that your tetanus booster is up to date. Doctors recommend people get a tetanus shot at least every 10 years. Make sure that any contaminated clothing or jewelry is no longer in contact with your skin. Rinse the burn if you think some of the chemical is still on your skin. Loosely apply a bandage or gauze. If needed, take an over-the-counter pain reliever, such as ibuprofen (Advil, Motrin IB, others), naproxen sodium (Aleve) or acetaminophen (Tylenol, others). Consider a tetanus shot. Make sure that your tetanus booster is up to date. The person shows signs of shock, such as fainting, pale complexion or very shallow breathing. The chemical burn penetrated through the first layer of skin and the burn covers an area more than 3 inches (about 8 centimeters) in diameter. The chemical burn encircles a limb or involves the eyes, hands, feet, face, groin or buttocks, or a major joint. Subbarao I, et al., eds. American Medical Association Handbook of First Aid and Emergency Care. New York, N.Y.: Random House; 2009. Millman M, et al., eds. Mayo Clinic Guide to Self-Care. 6th ed. Rochester, Minn.: Mayo Foundation for Medical Education and Research; 2010. "
"Chemical splash in the eye: First aid - Mayo Clinic
","If a chemical splashes into your eye, take these steps immediately. After following the above steps, seek emergency care by an eye specialist (ophthalmologist) or call 911 or your local emergency number. Take the chemical container or the name of the chemical with you to the emergency provider. If readily available, wear sunglasses to help reduce sensitivity to light. Flush your eye with water. Use clean, lukewarm tap water for at least 20 minutes. Use whichever of these approaches is quickest: Get into the shower and aim a gentle stream of water on your forehead over your affected eye. Or direct the stream on the bridge of your nose if both eyes are affected. Hold the lids of your affected eye or eyes open. Put your head down and turn it to the side. Then hold the lids of your affected eye open under a gently running faucet. If you have access to a work site eye-rinse station, use it. Young children may do best if they lie down in the bathtub or lean back over a sink. Pour a gentle stream of water on the forehead over the affected eye or on the bridge of the nose to flush both eyes. Wash your hands with soap and water. Thoroughly rinse your hands to be sure no chemical or soap is left on them. Remove contact lenses. If they don't come out during the flush, then take them out. Don't rub the eye  this may cause further damage. Don't put anything except water or contact lens saline rinse in the eye. And don't use eyedrops unless emergency personnel tell you to do so. Millman M, et al., eds. Mayo Clinic Guide to Self-Care. 6th ed. Rochester, Minn.: Mayo Foundation for Medical Education and Research; 2010. Subbarao I, et al., eds. American Medical Association Handbook of First Aid and Emergency Care. New York: Random House; 2009. Robertson DM (expert opinion). Mayo Clinic, Rochester, Minn. Nov. 5, 2014. "
"Chest pain: First aid - Mayo Clinic
","Causes of chest pain can vary from minor problems, such as indigestion or stress, to serious medical emergencies, such as a heart attack or pulmonary embolism. The specific cause of chest pain can be difficult to interpret. Finding the cause of your chest pain can be challenging, especially if you've never had prior symptoms. Even doctors may have a difficult time deciding if chest pain is a sign of a heart attack or something less serious, such as indigestion. If you have unexplained chest pain lasting more than a few minutes, it is better to seek emergency medical assistance than to try and diagnose the cause yourself. As with other sudden, unexplained pains, chest pain may be a signal for you to get medical help. Use the following information to help determine whether your chest pain is a medical emergency. A heart attack occurs when an artery that supplies oxygen to your heart muscle becomes blocked. A heart attack may cause chest pain that lasts 15 minutes or longer, or it can also be silent and produce no signs or symptoms. Many people who experience a heart attack have warning signs hours, days or weeks in advance. The earliest warning sign of an attack may be ongoing episodes of chest pain that start when you're physically active and are relieved by rest. Someone having a heart attack may experience none, any or all of the following: Angina is chest pain or discomfort caused by reduced blood flow to your heart muscle. Typically the term ""angina"" is used when you've already been given the diagnosis of heart disease related to atherosclerosis. Angina may be stable or unstable: Angina is relatively common, but can be hard to distinguish from other types of chest pain, such as the pain or discomfort of indigestion. If you are having angina with any of the following signs and symptoms, it may indicate a more serious condition, such as a heart attack: The severity, duration and type of angina can vary. If you have new or changing chest pain, these new or different symptoms may signal a more dangerous form of angina (unstable angina) or a heart attack. If your angina gets worse or changes, seek medical attention immediately. Pulmonary embolism occurs when a clot  usually from the veins of your leg or pelvis  lodges in a pulmonary artery of your lung. The lung tissue served by the artery doesn't get enough blood flow, causing tissue death. This makes it more difficult for your lungs to provide oxygen to the rest of your body. Signs and symptoms of pulmonary embolism may include: Pulmonary embolism can be life-threatening. As with a suspected heart attack, call 911 or emergency medical assistance immediately. An aortic dissection is a serious condition in which a tear develops in the inner layer of the aorta, the large blood vessel branching off the heart. Blood surges through this tear into the middle layer of the aorta, causing the inner and middle layers to separate (dissect). If the blood-filled channel ruptures through the outside aortic wall, aortic dissection is usually fatal. Typical signs and symptoms include: If you are experiencing any of these signs or symptoms, they could be caused by an aortic dissection or some other serious condition. Seek emergency medical assistance immediately. Frequent signs and symptoms of pneumonia are chest pain accompanied by chills, fever and a cough that may produce bloody or foul-smelling sputum. When pneumonia occurs with an inflammation of the membranes that surround the lung (pleura), you may have considerable chest discomfort when taking a breath or coughing. This condition is called pleurisy. One sign of pleurisy is that the pain is usually relieved temporarily by holding your breath or putting pressure on the painful area of your chest. This isn't usually true of a heart attack. If you've recently been diagnosed with pneumonia and then start having symptoms of pleurisy, contact your doctor or seek immediate medical attention to determine the cause of your chest pain. Pleurisy alone isn't a medical emergency, but you shouldn't try to make the diagnosis yourself. One of the most common varieties of harmless chest pain is chest wall pain. One kind of chest wall pain is costochondritis. It causes pain and tenderness in and around the cartilage that connects your ribs to your breastbone (sternum). In costochondritis, pressing on a few points along the edge of your sternum often results in considerable tenderness in those small areas. If the pressure of a finger causes similar chest pain, it's unlikely that a serious condition, such as a heart attack, is the cause of your chest pain. Other causes of chest pain include: Uncomfortable pressure, fullness or squeezing pain in the center of the chest lasting more than a few minutes Pain spreading to the shoulders, neck, jaw or arms Lightheadedness, fainting, sweating, nausea or shortness of breath Call 911 or emergency medical assistance. Don't tough out the symptoms of a heart attack for more than five minutes. If you don't have access to emergency medical services, have a neighbor or friend drive you to the nearest hospital. Drive yourself only as a last resort, and realize that driving yourself puts you and others at risk if your condition suddenly worsens. Chew a regular-strength aspirin. Aspirin reduces blood clotting, which can help blood flow through a narrowed artery that's caused a heart attack. However, don't take aspirin if you are allergic to aspirin, have bleeding problems or take another blood-thinning medication, or if your doctor previously told you not to do so. Take nitroglycerin, if prescribed. If you think you're having a heart attack and your doctor has previously prescribed nitroglycerin for you, take it as directed. Don't take anyone else's nitroglycerin. Begin CPR on the person having a heart attack, if directed. If the person suspected of having a heart attack is unconscious, a 911 dispatcher or another emergency medical specialist may advise you to begin cardiopulmonary resuscitation (CPR). If you haven't received CPR training, doctors recommend skipping mouth-to-mouth rescue breathing and performing only chest compressions (about 100 a minute). The dispatcher can instruct you in the proper procedures until help arrives. If an automated external defibrillator (AED) is available and the person's unconscious, begin CPR while the device is retrieved and set up. Attach the device and follow instructions that will be provided by the AED after it has evaluated the person's condition. Stable angina  persistent, recurring chest pain that usually occurs with exertion and is relatively predictable Unstable angina  sudden, new chest pain, or a change in the pattern of previously stable angina, that may signal an impending heart attack Pain in your arms, neck, jaw, shoulder or back accompanying chest pain Nausea Fatigue Shortness of breath Anxiety Sweating Dizziness Sudden, sharp chest pain often accompanied by shortness of breath Sudden, unexplained shortness of breath, even without pain Cough that may produce blood-streaked sputum Rapid heartbeat associated with shortness of breath Fainting Severe anxiety Unexplained sweating Sudden severe chest or upper back pain, often described as a tearing, ripping or shearing sensation, that radiates to the neck or down the back Loss of consciousness (fainting) Shortness of breath Sudden difficulty speaking, loss of vision, weakness, or paralysis of one side of your body, such as having a stroke Sweating Weak pulse in one arm compared with the other Strained chest muscles from overuse or excessive coughing Chest muscle bruising from minor injury Short-term, sudden anxiety with rapid breathing Peptic ulcer disease Pain from the digestive tract, such as esophageal reflux, peptic ulcer pain or gallbladder pain that may feel similar to heart attack symptoms Pericarditis O'Gara PT, et al. 2013 ACCF/AHA guideline for the management of ST-elevation myocardial infarction: A report of the American College of Cardiology Foundation/American Heart Association Task Force on Practice Guidelines. Circulation. 2013;127:529. Mankad R (expert opinion). Mayo Clinic, Rochester, Minn. Dec. 31, 2015. "
