Question,Answer,Not Helpful,Helpful
Should it be numb around the stab wound?,"Numbness around a stab wound as it heals points to a nerve injury. In some cases, the stab effects the cutaneous nerves, and makes the skin numb in the area. In some cases, over months, the nerves can regain some function, although in many cases the numbness is permanent. Be sure to discuss this with your physician who can provide more specific advice based on your injury.",2,9
How do I bandage a stab wound when the knife is still in?,Bandage around the area so that any blood coming out around the weapon is clogged. Think of the weapon as a plug. Try not to touch the weapon as you do this.,4,19
How long does the knife get left in the victim of a stab wound if the knife is embedded? ,"The knife should not be taken out by a non-medically trained person. Removing it can infect the wound even more or make deeper cuts, which will lead to more complications. The best choice is to seek immediate medical help and leave it up to the doctors to cure. Ask for assistance with treatment over the phone as well.",4,16
What does it mean if the stab wound is turning blue and black and the skin feels hard?,"It means it may have hit a major artery or vein, and is bruising due to internal bleeding.  Notify the paramedics once they arrive.",1,5
What if I was stabbed?,Seek medical attention as soon as possible. Have another person tend to your wound until medical personnel arrive or you get to a hospital. ,10,13
What should I do if a lung is punctured?,Cover the wound with plastic or clean metal to create an airtight seal around the hole. Do not remove it until a medical professional is on hand.,3,5
What do I do if the person has been stabbed in the neck?,Do not pull out the knife. Try to keep the patient calm and immediately call 911.,3,5
How long after a stabbing can complications arise?,"After a stabbing, complications, particularly infection, can occur any time up until the wound has fully healed.",2,4
"How long would it take for a stab wound, say a wounded shoulder, to heal?","Depends entirely on the person, people heal at different rates.  It also depends on the severity, depth, and size of the stab wound in question. ",6,3
Could I survive a stab to the chest if it does not strike the heart?,"Yes, you could. As long as it doesn't hit a lung, or strike a major artery or vein, you could survive, though there is no guarantee that you would, this would depend on quick access to medical care and other factors.",2,1
What if the mother vomits?,"Keep a bowl at the mother's side just in case she needs to throw up, her body is going through a lot so vomiting is not uncommon during labor and delivery. If there is no bowl, find any substitute, even a plastic shopping bag, so as to keep the area clean and to allow you to move it away quickly.",13,85
Is it painful to give birth to a baby?,"Yes but it's something that the majority of women can endure and manage well. From a physical perspective, both contractions and the stretching of the cervix and vagina cause pain but good breathing and calming techniques, along with having good birth support will help you to manage the pain well. Changing positions, walking around, using water, listening to music and using relaxation techniques are all good ways to help you to cope with the pain. This will all be covered amply by your ante-natal classes.
",14,74
How do I make the delivery fast?,Labor progresses faster when the mother is able to switch positions frequently and move about. ,3,24
Why is it necessary to go to the hospital after a successful home delivery?,"It is always an idea to have the baby checked at a hospital. Even if the baby seems healthy upon delivery, a baby should be looked over just to be sure that all the vitals are working as required and that there aren't any issues you cannot see for yourself. In some cases, it may be sufficient to see your/your baby's doctor, ask ahead of time. ",16,75
"I'm 17, what should I do if I'm scared?","Try some breathing exercises, they have been proven to help women in labor. If the father and your parents are present, they might be able to help keep you calm too (or some very close, good friends if there is no family help). Whether or not you have family support, be sure to get a good midwife who will stick with you through thick and thin, ensuring that all goes well for you and who can act as a go-between for you with doctors, should they need to be involved.",19,80
How much does it hurt?,"It's different for everyone, but, on a scale of 1-10, natural childbirth would be around a 9. Try not to worry. The pain is endurable and women have been giving birth since the beginning of time.",2,17
What if the mother passes out?,"This can happen if the mother's pain tolerance is very low or if she is squeamish (giving birth involves blood and pain). Position her head above her heart and after she's regained consciousness, give her some water and/or a salty snack.",17,67
What if I don't remember what to do?,Call an ambulance and stay in touch with the operator. They can walk you through the necessary steps.,4,20
What if no one's home and she's alone?,"It is dangerous to give birth alone. Stay with her but phone for an ambulance if she is already giving birth; if she is in the first stage, then try to drive her yourself. If you cannot drive and need to assist, follow what is written in this article. Do not leave her alone; you might also phone a neighbor or flag down someone to help or to go for help.",8,31
What if I have a period when I give birth?,"You can't have a period when you give birth, periods stop during pregnancy.",0,5
What does CPR stand for?,CPR = Cardio Pulmonary Resuscitation.,10,39
Why shouldn't you slap or throw water in an unconscious person's face?,"Such a method is actually a movie gimmick and has a low chance of waking up the victim but if the victim is cold, it could increase their sensitivity to cold, which could lead to hypothermia.",11,59
How do I treat a snake bite if you am a child all alone?,"First make sure you stay calm, because panicking can cause the blood to move through your body faster and the poison will spread. Call 911. Then, find a piece of clothing and tie it tightly directly above the place where you were bitten. Go and wash the bite with only warm water and no soap, and then wait for medical attention. 
",8,43
